ProductID, Category, Brand,  Price , Vegan
1,Nail Care,Luxe Mirage,82.59,Yes
2,Nail Care,Glimmer & Glow,20.37,Yes
3,Fragrance,Velvet Vixen,86.28,Yes
4,Haircare,Mystique,21.31,Yes
5,Nail Care,Mystique,72.31,Yes
6,Nail Care,Mystique,76.21,Yes
7,Nail Care,Fantasy,29.99,Yes
8,Makeup,Luxe Mirage,25.11,Yes
9,Fragrance,Dazzle Dream,25.68,No
10,Nail Care,Fantasy,47.57,Yes
11,Body Care,Luxe Mirage,45.03,No
12,Body Care,Luxe Mirage,22.06,No
13,Nail Care,Dazzle Dream,20.47,No
14,Makeup,Mystique,21.35,No
15,Body Care,Mystique,73.49,Yes
16,Haircare,Fantasy,54.85,Yes
17,Haircare,Velvet Vixen,32.28,Yes
18,Body Care,Fantasy,35.48,No
19,Fragrance,Velvet Vixen,59.69,Yes
20,Skincare,Luxe Mirage,36.26,No
21,Nail Care,Mystique,75.55,No
22,Fragrance,Mystique,88.37,Yes
23,Nail Care,Luxe Mirage,27.00,Yes
24,Body Care,Dazzle Dream,19.54,No
25,Fragrance,Glimmer & Glow,52.80,No
26,Haircare,Glimmer & Glow,95.21,No
27,Fragrance,Glimmer & Glow,26.30,Yes
28,Makeup,Luxe Mirage,57.19,No
29,Skincare,Luxe Mirage,23.70,Yes
30,Nail Care,Velvet Vixen,11.52,No
31,Fragrance,Luxe Mirage,89.90,No
32,Nail Care,Glimmer & Glow,65.84,No
33,Body Care,Mystique,32.10,No
34,Skincare,Fantasy,84.11,Yes
35,Skincare,Dazzle Dream,33.65,Yes
36,Nail Care,Mystique,31.98,No
37,Body Care,Fantasy,50.07,No
38,Nail Care,Velvet Vixen,96.49,Yes
39,Skincare,Fantasy,54.29,No
40,Skincare,Velvet Vixen,32.06,No
41,Body Care,Glimmer & Glow,50.00,Yes
42,Body Care,Dazzle Dream,65.21,No
43,Nail Care,Dazzle Dream,55.82,Yes
44,Body Care,Fantasy,98.87,Yes
45,Body Care,Glimmer & Glow,62.48,Yes
46,Fragrance,Luxe Mirage,39.97,No
47,Skincare,Mystique,64.90,No
48,Body Care,Fantasy,79.12,No
49,Body Care,Mystique,64.87,No
50,Nail Care,Dazzle Dream,37.83,Yes
51,Body Care,Glimmer & Glow,29.51,No
52,Makeup,Mystique,76.24,No
53,Fragrance,Luxe Mirage,66.32,No
54,Makeup,Luxe Mirage,60.90,No
55,Makeup,Glimmer & Glow,22.86,No
56,Haircare,Mystique,60.57,Yes
57,Skincare,Mystique,62.26,No
58,Makeup,Velvet Vixen,76.12,Yes
59,Haircare,Fantasy,38.00,No
60,Haircare,Luxe Mirage,48.71,No
61,Makeup,Mystique,97.73,No
62,Skincare,Mystique,73.10,No
63,Skincare,Glimmer & Glow,14.18,Yes
64,Nail Care,Luxe Mirage,35.74,No
65,Nail Care,Fantasy,19.04,Yes
66,Haircare,Glimmer & Glow,30.02,No
67,Fragrance,Fantasy,60.45,Yes
68,Nail Care,Velvet Vixen,90.65,No
69,Fragrance,Mystique,74.46,Yes
70,Body Care,Fantasy,18.51,No
71,Body Care,Dazzle Dream,92.95,No
72,Nail Care,Dazzle Dream,87.52,No
73,Fragrance,Fantasy,48.77,No
74,Body Care,Luxe Mirage,50.51,No
75,Haircare,Velvet Vixen,17.61,Yes
76,Body Care,Mystique,58.10,No
77,Makeup,Mystique,85.31,Yes
78,Body Care,Mystique,20.73,Yes
79,Haircare,Velvet Vixen,81.24,Yes
80,Haircare,Velvet Vixen,90.02,No
81,Makeup,Fantasy,32.75,Yes
82,Body Care,Fantasy,47.02,No
83,Skincare,Luxe Mirage,23.86,No
84,Body Care,Dazzle Dream,93.76,Yes
85,Body Care,Fantasy,11.94,Yes
86,Makeup,Glimmer & Glow,68.96,No
87,Body Care,Luxe Mirage,64.93,No
88,Haircare,Velvet Vixen,13.94,Yes
89,Fragrance,Velvet Vixen,40.17,Yes
90,Fragrance,Mystique,29.91,No
91,Nail Care,Luxe Mirage,99.14,Yes
92,Makeup,Glimmer & Glow,44.69,Yes
93,Body Care,Dazzle Dream,31.84,No
94,Nail Care,Dazzle Dream,12.52,No
95,Haircare,Glimmer & Glow,51.49,Yes
96,Fragrance,Dazzle Dream,56.71,No
97,Makeup,Mystique,27.20,No
98,Fragrance,Mystique,30.25,No
99,Nail Care,Mystique,82.48,No
100,Nail Care,Mystique,37.44,No
101,Skincare,Velvet Vixen,33.79,No
102,Fragrance,Fantasy,12.26,Yes
103,Skincare,Luxe Mirage,50.66,No
104,Body Care,Luxe Mirage,27.24,Yes
105,Haircare,Luxe Mirage,74.72,Yes
106,Body Care,Dazzle Dream,10.87,No
107,Nail Care,Fantasy,91.19,No
