SaleID,ProductID,SaleDate,Quantity,TotalSales,StoreLocation
1,447,2/3/2024,4,373.12,"Boston, MA"
2,293,6/3/2024,18,1206.18,"Dallas, TX"
3,913,1/3/2024,2,68.70,"Dallas, TX"
4,366,2/23/2024,13,720.59,"New York City, NY"
5,639,9/24/2024,10,918.10,"Atlanta, GA"
6,432,9/8/2024,4,196.48,"Atlanta, GA"
7,577,8/3/2024,11,1045.77,"San Francisco, CA"
8,292,7/9/2024,12,845.52,"Chicago, IL"
9,285,10/10/2024,18,896.22,"New York City, NY"
10,517,7/3/2024,20,452.80,"Boston, MA"
11,525,6/3/2024,18,906.84,"Dallas, TX"
12,676,4/21/2024,3,160.92,"Dallas, TX"
13,387,4/29/2024,5,333.10,"Seattle, WA"
14,772,3/13/2024,17,383.86,"San Francisco, CA"
15,90,6/21/2024,9,269.19,"Chicago, IL"
16,538,1/30/2024,14,228.76,"Atlanta, GA"
17,914,9/12/2024,20,856.60,"Seattle, WA"
18,881,3/4/2024,19,881.03,"New York City, NY"
19,159,10/2/2024,16,395.20,"Dallas, TX"
20,462,9/29/2024,5,63.30,"Boston, MA"
21,270,5/23/2024,9,897.12,"Boston, MA"
22,960,6/9/2024,9,549.00,"Los Angeles, CA"
23,111,9/8/2024,6,76.20,"New York City, NY"
24,966,4/24/2024,11,1027.07,"Miami, FL"
25,592,9/5/2024,4,286.08,"Dallas, TX"
26,886,8/9/2024,7,461.44,"Boston, MA"
27,121,5/23/2024,18,1065.96,"San Francisco, CA"
28,798,3/19/2024,10,434.70,"New York City, NY"
29,579,7/13/2024,10,354.50,"Dallas, TX"
30,815,7/21/2024,11,937.97,"Atlanta, GA"
31,547,2/18/2024,1,56.83,"Chicago, IL"
32,264,10/10/2024,15,1134.60,"Los Angeles, CA"
33,779,10/18/2024,6,254.40,"Los Angeles, CA"
34,794,2/21/2024,8,621.04,"New York City, NY"
35,383,2/11/2024,2,27.18,"Houston, TX"
36,321,1/8/2024,2,103.94,"San Francisco, CA"
37,349,4/19/2024,6,517.98,"Seattle, WA"
38,607,1/28/2024,10,832.90,"Los Angeles, CA"
39,604,8/25/2024,18,1256.58,"Houston, TX"
40,946,5/23/2024,1,22.75,"San Francisco, CA"
41,593,9/10/2024,10,479.50,"Houston, TX"
42,581,4/6/2024,8,299.28,"Seattle, WA"
43,798,1/27/2024,4,173.88,"Houston, TX"
44,647,3/15/2024,4,74.20,"Miami, FL"
45,200,2/15/2024,1,17.54,"Dallas, TX"
46,729,7/4/2024,18,289.62,"Chicago, IL"
47,695,2/24/2024,1,80.81,"Chicago, IL"
48,782,10/1/2024,1,84.24,"Atlanta, GA"
49,701,5/13/2024,19,868.11,"Miami, FL"
50,168,2/28/2024,13,953.81,"New York City, NY"
51,988,5/1/2024,10,300.20,"Dallas, TX"
52,871,6/30/2024,6,321.24,"Boston, MA"
53,919,3/29/2024,2,141.58,"Seattle, WA"
54,758,4/15/2024,13,1296.88,"Los Angeles, CA"
55,897,10/3/2024,12,817.80,"Los Angeles, CA"
56,133,5/24/2024,16,576.32,"Dallas, TX"
57,626,2/19/2024,19,811.68,"Atlanta, GA"
58,244,1/24/2024,1,99.44,"San Francisco, CA"
60,385,5/14/2024,9,570.42,"Boston, MA"
61,557,2/7/2024,8,165.92,"Boston, MA"
62,161,8/20/2024,16,664.16,"San Francisco, CA"
63,829,5/14/2024,6,362.52,"Los Angeles, CA"
65,84,3/4/2024,20,1875.20,"Los Angeles, CA"
66,119,4/17/2024,6,311.82,"Boston, MA"
67,761,9/17/2024,19,710.79,"Atlanta, GA"
68,429,1/18/2024,13,819.39,"New York City, NY"
69,841,7/25/2024,9,409.59,"Atlanta, GA"
70,952,9/6/2024,11,524.15,"Miami, FL"
71,432,10/29/2024,6,294.72,"Atlanta, GA"
72,329,3/27/2024,6,483.54,"Seattle, WA"
73,228,9/30/2024,20,458.60,"Dallas, TX"
74,849,8/26/2024,11,352.00,"Chicago, IL"
75,598,8/7/2024,3,266.79,"Houston, TX"
76,340,2/1/2024,14,1072.40,"Chicago, IL"
77,93,9/22/2024,19,604.96,"Chicago, IL"
79,947,4/25/2024,2,84.34,"Atlanta, GA"
80,775,3/23/2024,19,858.42,"Miami, FL"
81,618,4/13/2024,17,170.68,"Los Angeles, CA"
82,452,8/8/2024,18,603.72,"Miami, FL"
83,548,8/27/2024,9,593.82,"Boston, MA"
84,104,4/4/2024,2,54.48,"Boston, MA"
85,226,1/7/2024,17,710.43,"Seattle, WA"
86,356,8/17/2024,15,1121.40,"Boston, MA"
87,932,10/30/2024,6,451.50,"Boston, MA"
88,436,4/11/2024,6,336.60,"Seattle, WA"
89,444,10/26/2024,3,291.00,"Dallas, TX"
90,911,8/13/2024,15,1441.50,"Miami, FL"
91,642,4/11/2024,18,1049.22,"Houston, TX"
92,498,10/16/2024,11,692.45,"Seattle, WA"
93,387,5/17/2024,5,333.10,"Dallas, TX"
94,650,6/18/2024,18,741.96,"Miami, FL"
95,551,7/5/2024,4,216.60,"Houston, TX"
96,659,10/3/2024,14,932.68,"Dallas, TX"
97,841,6/22/2024,8,364.08,"Chicago, IL"
98,629,3/2/2024,4,133.64,"Miami, FL"
